theatre: owens_valley  (66x89 @ 1500 m = 97.5 x 132.0 km)
relief:  345 - 4077 m AMSL
threats: long_range_surveillance, medium_sam_acquisition, short_range_point_defense, mobile_short_range, interceptor_seeker
k_earth: 1.2562 (measured, not the 4/3 default)
assumptions (not measured): n_max_g=5.0, roc_max_ms=120.0, gamma_max_rad=0.52, measured_civil_climb_p95_ms=13.3 (OpenSky) -- NOT used; see ASSUMED_CLIMB_RATE_MS, floor_agl_m=30.0, fuel_kg=3000.0, lock_dynamics=derived from radar scan period; not in any component spec
[baseline @ level 0] {'survival_rate': 0.4140625, 'objective_rate': 0.41796875, 'shootdown_rate': 0.51171875, 'mean_exposure': 0.22447265684604645}
[   1] R   -159.5 cost  6.766 lam  1.00 | surv 0.043 obj 0.027 shot 0.516 exp 0.520 terr 0.016 oob 0.426 | red 0.00
[  20] R    -80.1 cost  8.961 lam  1.06 | surv 0.371 obj 0.285 shot 0.477 exp 0.421 terr 0.094 oob 0.059 | red 0.00
[  40] R    -60.3 cost  8.590 lam  1.13 | surv 0.512 obj 0.457 shot 0.352 exp 0.413 terr 0.031 oob 0.105 | red 0.00
[  60] R    -36.5 cost  6.199 lam  1.20 | surv 0.375 obj 0.328 shot 0.340 exp 0.392 terr 0.105 oob 0.180 | red 0.00
[  80] R    -21.1 cost  5.383 lam  1.27 | surv 0.340 obj 0.320 shot 0.281 exp 0.447 terr 0.035 oob 0.344 | red 0.00
[ 100] R     -4.3 cost  5.883 lam  1.35 | surv 0.520 obj 0.500 shot 0.195 exp 0.289 terr 0.145 oob 0.141 | red 0.00
[ 120] R     -2.7 cost  8.547 lam  1.44 | surv 0.398 obj 0.395 shot 0.223 exp 0.370 terr 0.109 oob 0.270 | red 0.10
[ 140] R    -65.8 cost 14.082 lam  1.54 | surv 0.324 obj 0.316 shot 0.445 exp 0.366 terr 0.070 oob 0.160 | red 0.20
[ 160] R    -37.8 cost 12.133 lam  1.65 | surv 0.449 obj 0.449 shot 0.258 exp 0.369 terr 0.109 oob 0.184 | red 0.20
[ 180] R    -32.6 cost  8.941 lam  1.76 | surv 0.355 obj 0.336 shot 0.309 exp 0.420 terr 0.094 oob 0.242 | red 0.20
[ 200] R    -68.3 cost 10.883 lam  1.87 | surv 0.203 obj 0.176 shot 0.445 exp 0.565 terr 0.172 oob 0.184 | red 0.20
[ 220] R    -60.1 cost 12.348 lam  1.97 | surv 0.508 obj 0.480 shot 0.266 exp 0.383 terr 0.105 oob 0.121 | red 0.20
[ 240] R    -32.2 cost  8.902 lam  2.07 | surv 0.367 obj 0.359 shot 0.301 exp 0.447 terr 0.121 oob 0.211 | red 0.20
[ 260] R    -41.9 cost 10.965 lam  2.18 | surv 0.453 obj 0.434 shot 0.223 exp 0.388 terr 0.129 oob 0.195 | red 0.20
[ 280] R    -44.2 cost  9.328 lam  2.29 | surv 0.238 obj 0.230 shot 0.242 exp 0.500 terr 0.191 oob 0.332 | red 0.30
[ 300] R    -73.5 cost 13.559 lam  2.41 | surv 0.246 obj 0.242 shot 0.301 exp 0.496 terr 0.164 oob 0.289 | red 0.40
[ 320] R    -82.3 cost 12.938 lam  2.54 | surv 0.223 obj 0.199 shot 0.137 exp 0.542 terr 0.164 oob 0.477 | red 0.40
[ 340] R    -94.2 cost 21.914 lam  2.68 | surv 0.145 obj 0.133 shot 0.422 exp 0.555 terr 0.176 oob 0.258 | red 0.50
[ 360] R   -136.1 cost 17.090 lam  2.84 | surv 0.102 obj 0.102 shot 0.281 exp 0.631 terr 0.223 oob 0.398 | red 0.50
[ 380] R    -98.8 cost 13.352 lam  2.98 | surv 0.152 obj 0.129 shot 0.219 exp 0.534 terr 0.285 oob 0.344 | red 0.50
