theatre: owens_valley  (66x89 @ 1500 m = 97.5 x 132.0 km)
relief:  345 - 4077 m AMSL
threats: long_range_surveillance, medium_sam_acquisition, short_range_point_defense, mobile_short_range, interceptor_seeker
k_earth: 1.2562 (measured, not the 4/3 default)
assumptions (not measured): n_max_g=5.0, roc_max_ms=120.0, gamma_max_rad=0.52, measured_civil_climb_p95_ms=13.3 (OpenSky) -- NOT used; see ASSUMED_CLIMB_RATE_MS, floor_agl_m=30.0, fuel_kg=3000.0, lock_dynamics=derived from radar scan period; not in any component spec
[baseline direct    @ level 0] surv 0.414 obj 0.418 shot 0.512 exp_early 0.389
[baseline avoid_nap @ level 0] surv 0.816 obj 0.816 shot 0.180 exp_early 0.268
[   1] R   -159.5 cost  0.434 lam  1.17 | surv 0.047 obj 0.031 shot 0.527 exp_e 0.420 agl 2878 terr 0.027 oob 0.398 | red 0.00
[  20] R    -82.9 cost  0.281 lam  1.15 | surv 0.277 obj 0.109 shot 0.527 exp_e 0.411 agl 5040 terr 0.023 oob 0.172 | red 0.00
[  40] R    -70.4 cost  0.273 lam  1.20 | surv 0.492 obj 0.391 shot 0.410 exp_e 0.490 agl 5966 terr 0.016 oob 0.082 | red 0.00
[  60] R    -32.9 cost  0.184 lam  1.21 | surv 0.465 obj 0.320 shot 0.301 exp_e 0.463 agl 4956 terr 0.090 oob 0.145 | red 0.00
[  80] R    -20.8 cost  0.207 lam  1.28 | surv 0.453 obj 0.445 shot 0.398 exp_e 0.501 agl 4538 terr 0.074 oob 0.074 | red 0.00
[ 100] R    -27.7 cost  0.203 lam  1.34 | surv 0.555 obj 0.531 shot 0.266 exp_e 0.529 agl 5336 terr 0.078 oob 0.102 | red 0.00
[ 120] R    -10.9 cost  0.184 lam  1.38 | surv 0.484 obj 0.449 shot 0.293 exp_e 0.413 agl 4446 terr 0.156 oob 0.066 | red 0.00
[ 140] R     -7.1 cost  0.125 lam  1.39 | surv 0.566 obj 0.539 shot 0.227 exp_e 0.451 agl 5207 terr 0.070 oob 0.137 | red 0.00
[ 160] R      4.9 cost  0.125 lam  1.43 | surv 0.504 obj 0.480 shot 0.207 exp_e 0.513 agl 4915 terr 0.098 oob 0.191 | red 0.00
[ 180] R     10.5 cost  0.117 lam  1.45 | surv 0.648 obj 0.602 shot 0.230 exp_e 0.506 agl 5516 terr 0.062 oob 0.059 | red 0.00
[ 200] R     -1.1 cost  0.148 lam  1.48 | surv 0.508 obj 0.426 shot 0.246 exp_e 0.538 agl 4283 terr 0.109 oob 0.137 | red 0.00
[ 220] R     10.2 cost  0.094 lam  1.48 | surv 0.695 obj 0.680 shot 0.172 exp_e 0.521 agl 5382 terr 0.078 oob 0.055 | red 0.00
[ 240] R     14.5 cost  0.141 lam  1.51 | surv 0.637 obj 0.613 shot 0.242 exp_e 0.542 agl 5296 terr 0.094 oob 0.027 | red 0.00
[ 260] R     -2.8 cost  0.133 lam  1.53 | surv 0.676 obj 0.641 shot 0.141 exp_e 0.500 agl 6402 terr 0.059 oob 0.125 | red 0.00
[ 280] R     24.0 cost  0.094 lam  1.52 | surv 0.758 obj 0.727 shot 0.113 exp_e 0.615 agl 6046 terr 0.039 oob 0.090 | red 0.00
[ 300] R     13.1 cost  0.141 lam  1.56 | surv 0.543 obj 0.523 shot 0.160 exp_e 0.588 agl 6121 terr 0.078 oob 0.219 | red 0.10
[ 320] R      2.1 cost  0.160 lam  1.61 | surv 0.500 obj 0.488 shot 0.184 exp_e 0.618 agl 5464 terr 0.062 oob 0.254 | red 0.10
[ 340] R      7.2 cost  0.129 lam  1.64 | surv 0.500 obj 0.473 shot 0.117 exp_e 0.575 agl 5888 terr 0.102 oob 0.281 | red 0.10
